indice_tiempo,catalogos_cant,datasets_cant,datasets_federados_cant,datasets_no_federados_cant,datasets_federados_pct,datasets_meta_ok_cant,datasets_meta_error_cant,datasets_meta_ok_pct,distribuciones_cant,distribuciones_federadas_cant,campos_recomendados_pct,campos_optativos_pct,datasets_con_datos_pct,datasets_sin_datos_cant,datasets_con_datos_cant
2017-07-13,8,342,46,296,13.45,288,54,84.21,1541,,49.99,53.35,,,
2017-07-14,8,342,46,296,13.45,288,54,84.21,1541,,49.99,53.35,,,
2017-07-15,8,342,45,297,13.16,288,54,84.21,1541,,49.99,53.35,,,
2017-07-16,8,342,45,297,13.16,288,54,84.21,1541,,49.99,53.35,,,
2017-07-17,8,342,45,297,13.16,288,54,84.21,1541,,49.99,53.35,,,
2017-07-18,8,342,45,297,13.16,288,54,84.21,1541,,49.99,53.35,,,
2017-07-19,8,342,45,297,13.16,288,54,84.21,1543,,49.98,53.37,,,
2017-07-20,8,342,45,297,13.16,288,54,84.21,1543,,49.98,53.37,,,
2017-07-21,8,342,45,297,13.16,288,54,84.21,1551,,49.95,53.16,,,
2017-07-22,8,355,45,310,12.68,301,54,84.79,1577,,49.95,52.46,,,
2017-07-23,7,152,45,107,29.61,98,54,64.47,577,,47.86,35.23,,,
2017-07-24,7,152,45,107,29.61,98,54,64.47,577,,47.86,35.23,,,
2017-07-25,7,152,45,107,29.61,98,54,64.47,580,,47.84,35.35,,,
2017-07-26,7,152,45,107,29.61,103,49,67.76,580,,47.84,35.35,,,
2017-07-27,7,152,45,107,29.61,103,49,67.76,585,,47.81,35.55,,,
2017-07-28,7,152,45,107,29.61,103,49,67.76,586,,47.8,35.59,,,
2017-07-29,7,152,45,107,29.61,103,49,67.76,589,,47.78,35.71,,,
2017-07-30,7,152,45,107,29.61,103,49,67.76,589,,47.78,35.71,,,
2017-07-31,7,152,45,107,29.61,103,49,67.76,589,,47.78,35.71,,,
2017-08-01,7,126,45,81,35.71,93,33,73.81,550,,48.66,36.76,,,
2017-08-02,,,,,,,,,,,,,,,
2017-08-03,,,,,,,,,,,,,,,
